id,merchantId,name,description,price,stock,category,commissionRate,status,metadata,createdAt,updatedAt,productType,fixedCommissionRate,allowCommissionAdjustment,minCommissionRate,maxCommissionRate
d5c6d241-0768-4cf4-97c9-9956af673f56,f9fd7fe9-18eb-4519-806a-7a486be863c9,NFT收藏品 - 数字艺术品,限量版数字艺术品NFT，基于以太坊链，拥有唯一tokenId和元数据。,0.50,1,链上资产,0.10,inactive,"{""type"": ""nft"", ""chain"": ""ethereum"", ""image"": ""https://via.placeholder.com/300x300?text=NFT艺术品"", ""rarity"": ""legendary"", ""tokenId"": ""1"", ""contract"": ""0x1234567890abcdef"", ""currency"": ""ETH""}",2025-11-16 10:13:27.274884,2025-11-30 09:18:57.081949,physical,,f,,
d5b2c17e-86d0-4720-91b0-41b8a4e5294c,f9fd7fe9-18eb-4519-806a-7a486be863c9,游戏道具NFT - 稀有装备,链游中的稀有装备NFT，可在游戏中使用，支持跨游戏交易。,0.30,5,链上资产,0.12,inactive,"{""game"": ""链游世界"", ""type"": ""game_item"", ""chain"": ""polygon"", ""image"": ""https://via.placeholder.com/300x300?text=游戏NFT"", ""rarity"": ""epic"", ""contract"": ""0xabcdef1234567890"", ""currency"": ""ETH""}",2025-11-16 10:13:27.294871,2025-11-30 09:18:57.135284,physical,,f,,
97dae101-5376-41e9-a89e-2d33c1233170,f9fd7fe9-18eb-4519-806a-7a486be863c9,传奇游戏剑 - 火焰之刃,一把传说中的游戏武器，拥有强大的火焰属性，适合近战职业使用。稀有度：史诗级,0.10,15,游戏装备,0.15,inactive,"{""game"": ""传奇世界"", ""type"": ""weapon"", ""image"": ""https://via.placeholder.com/300x300?text=游戏剑"", ""rarity"": ""epic"", ""currency"": ""USD"", ""attributes"": {""attack"": 120, ""fireDamage"": 30}}",2025-11-16 10:13:27.068529,2025-11-30 09:18:57.160176,physical,,f,,
472450a4-65bf-412a-b014-bf3f77c8cd70,f9fd7fe9-18eb-4519-806a-7a486be863c9,联想 Yoga 笔记本电脑,14英寸轻薄本，Intel i7处理器，16GB内存，512GB SSD，适合办公和创作。,1.00,25,电子产品,0.05,inactive,"{""brand"": ""联想"", ""image"": ""https://via.placeholder.com/300x300?text=笔记本电脑"", ""model"": ""Yoga 14"", ""specs"": {""cpu"": ""Intel i7"", ""ram"": ""16GB"", ""storage"": ""512GB SSD""}, ""currency"": ""CNY""}",2025-11-16 10:13:27.157865,2025-11-30 09:18:57.178994,physical,,f,,
504bb2e5-6ce6-473b-b684-79f5b5ad9bb4,f9fd7fe9-18eb-4519-806a-7a486be863c9,无线蓝牙耳机 - 降噪版,主动降噪技术，30小时续航，支持快速充电，音质清晰。,1.00,50,电子产品,0.08,inactive,"{""brand"": ""AudioTech"", ""image"": ""https://via.placeholder.com/300x300?text=蓝牙耳机"", ""currency"": ""CNY"", ""features"": [""降噪"", ""长续航"", ""快充""]}",2025-11-16 10:13:27.175393,2025-11-30 09:18:57.198963,physical,,f,,
ef1ca511-274c-4b09-8d1a-6872df1525a2,f9fd7fe9-18eb-4519-806a-7a486be863c9,智能手表 - 运动版,健康监测，运动追踪，GPS定位，7天续航，防水设计。,1.00,30,电子产品,0.06,inactive,"{""brand"": ""SmartWatch"", ""image"": ""https://via.placeholder.com/300x300?text=智能手表"", ""currency"": ""CNY"", ""features"": [""健康监测"", ""GPS"", ""防水""]}",2025-11-16 10:13:27.18743,2025-11-30 09:18:57.227625,physical,,f,,
092c3f3f-9fcf-4325-95bc-951f0e7d93d2,f9fd7fe9-18eb-4519-806a-7a486be863c9,机械键盘 - 87键,青轴机械键盘，RGB背光，适合游戏和打字，响应速度快。,1.00,40,电子产品,0.07,inactive,"{""brand"": ""KeyBoard Pro"", ""image"": ""https://via.placeholder.com/300x300?text=机械键盘"", ""switch"": ""青轴"", ""currency"": ""CNY"", ""features"": [""RGB背光"", ""87键""]}",2025-11-16 10:13:27.200786,2025-11-30 09:18:57.244091,physical,,f,,
2eb08063-2615-4a57-b47e-181b7cbb28bf,f9fd7fe9-18eb-4519-806a-7a486be863c9,网站设计服务,专业的网站设计和开发服务，包括UI/UX设计、前端开发、响应式布局。交付周期：7-14天,1.00,999,设计服务,0.20,inactive,"{""type"": ""virtual_service"", ""image"": ""https://via.placeholder.com/300x300?text=设计服务"", ""currency"": ""CNY"", ""serviceType"": ""web_design"", ""deliveryDays"": 14}",2025-11-16 10:13:27.220071,2025-11-30 09:18:57.262304,physical,,f,,
027f5d7c-e146-4198-b12c-88e6d0618554,86ed4906-88eb-4a54-b8f2-15fce6ca65d1,🎨 虚拟商品 - 数字艺术收藏,限量数字艺术收藏品，支持 NFT 形式交付。测试虚拟商品的支付和交付流程。,0.01,200,虚拟商品,7.00,inactive,"{""image"": ""https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=400"", ""currency"": ""USDT"", ""assetType"": ""virtual"", ""productType"": ""nft"", ""paymentMethod"": ""wallet""}",2025-11-25 08:31:10.996593,2025-11-30 09:18:57.336171,nft,,f,,
91c65187-7cbb-448e-866f-47e1509ff810,f9fd7fe9-18eb-4519-806a-7a486be863c9,强化石 - 力量增强,用于强化装备的珍贵道具，可以提升装备的基础属性。,0.10,100,游戏道具,0.10,inactive,"{""game"": ""传奇世界"", ""type"": ""enhancement"", ""image"": ""https://via.placeholder.com/300x300?text=强化石"", ""rarity"": ""common"", ""currency"": ""USD""}",2025-11-16 10:13:27.1096,2025-11-30 09:18:57.429282,physical,,f,,
